                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1491,                0.64021,                 1.0096,                0.79359,                0.73807,                0.80229,                0.47327,                 1.4213,                0.88674,                  1.088,             0.00055222,             0.00055222,             0.00055222
                      2,                 1.1806,                0.67668,                  1.007,                0.81085,                 0.6995,                0.78551,                0.45196,                 1.4824,                0.94238,                 1.1214,              0.0010859,              0.0010859,              0.0010859
                      3,                 1.2041,                0.70067,                 1.0205,                0.77898,                0.69343,                0.75777,                0.44148,                  1.477,                0.95947,                 1.1198,              0.0015977,              0.0015977,              0.0015977
                      4,                 1.2144,                0.70062,                 1.0303,                0.79503,                0.69237,                0.77764,                0.44031,                 1.4975,                0.94887,                  1.116,               0.001568,               0.001568,               0.001568
                      5,                 1.2533,                0.72979,                 1.0395,                0.74755,                0.72778,                 0.7734,                 0.4439,                 1.4916,                0.93716,                 1.1208,               0.001568,               0.001568,               0.001568
                      6,                 1.2453,                0.73328,                 1.0338,                0.81366,                0.69022,                0.78919,                0.45818,                 1.4805,                0.90528,                 1.1128,               0.001535,               0.001535,               0.001535
                      7,                  1.228,                0.70491,                 1.0359,                0.77116,                0.70144,                0.76216,                0.43463,                 1.5016,                0.94491,                 1.1133,               0.001502,               0.001502,               0.001502
                      8,                 1.2578,                 0.7226,                 1.0337,                0.76805,                0.67549,                0.76298,                0.42901,                 1.5373,                0.98265,                 1.1313,               0.001469,               0.001469,               0.001469
                      9,                 1.2172,                0.70298,                 1.0277,                0.81168,                0.71219,                0.78409,                0.43845,                  1.522,                0.91878,                 1.1289,               0.001436,               0.001436,               0.001436
                     10,                 1.2236,                0.70981,                 1.0255,                0.78152,                 0.6725,                0.77098,                0.44557,                 1.4823,                0.94137,                 1.1107,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.2425,                0.72384,                 1.0216,                0.81099,                0.69785,                0.77741,                 0.4444,                  1.496,                0.91781,                 1.1201,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.2203,                0.70751,                 1.0361,                0.78532,                0.70202,                0.77744,                0.45453,                 1.4718,                0.93831,                 1.1132,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.2146,                0.70155,                 1.0224,                0.81842,                0.67606,                0.77772,                0.43951,                 1.5051,                0.95931,                 1.1244,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.2247,                0.70658,                 1.0273,                 0.7754,                0.70167,                0.77664,                0.45247,                 1.4515,                0.93483,                 1.1015,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.2131,                 0.6984,                 1.0301,                0.79398,                0.67711,                0.76757,                0.43529,                 1.5099,                0.94888,                  1.118,              0.0012379,              0.0012379,              0.0012379
                     16,                    1.2,                0.70141,                 1.0158,                0.79449,                0.71032,                0.78096,                0.45885,                 1.4663,                 0.9357,                 1.1047,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.2261,                0.70239,                 1.0283,                0.79858,                0.71287,                0.78105,                  0.456,                 1.4818,                0.92186,                 1.1218,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.2112,                0.70597,                 1.0254,                0.77125,                0.72001,                0.77969,                0.45546,                 1.4517,                0.89136,                 1.1097,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.2167,                0.69604,                 1.0263,                0.79076,                0.70759,                0.78267,                0.46098,                 1.4328,                0.89745,                 1.1013,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.1951,                0.68916,                 1.0193,                0.79879,                0.72427,                0.79712,                0.46358,                 1.4631,                 0.9126,                 1.1026,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.2102,                0.68694,                 1.0202,                0.79415,                0.72788,                0.79137,                0.47157,                 1.4301,                0.88342,                 1.1016,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.2035,                0.68949,                 1.0277,                0.82766,                0.69176,                 0.7946,                0.46913,                 1.4458,                0.89968,                  1.101,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.1903,                0.68015,                 1.0181,                0.82399,                0.71679,                0.81116,                0.47993,                 1.4273,                0.87068,                 1.1026,             0.00097386,             0.00097386,             0.00097386
                     24,                  1.174,                0.65298,                 1.0092,                0.80585,                0.73204,                0.79799,                0.45908,                 1.4749,                0.89726,                  1.118,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.1792,                0.67899,                 1.0133,                0.80584,                0.71051,                0.78954,                  0.465,                 1.4486,                0.90571,                 1.0995,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.1745,                0.65572,                 1.0207,                0.80875,                0.71078,                0.78957,                0.47522,                 1.4306,                 0.8992,                 1.0941,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.2041,                 0.6814,                 1.0198,                0.79783,                  0.735,                 0.8011,                0.48013,                 1.4282,                0.87401,                  1.091,             0.00084184,             0.00084184,             0.00084184
                     28,                  1.159,                0.65934,                 1.0067,                0.77689,                0.74842,                0.80618,                0.47907,                 1.4241,                0.87721,                  1.094,             0.00080883,             0.00080883,             0.00080883
                     29,                 1.1558,                 0.6512,                 1.0079,                0.82169,                0.71829,                0.80238,                 0.4793,                 1.4204,                0.87288,                 1.0904,             0.00077582,             0.00077582,             0.00077582
                     30,                 1.1711,                0.65783,                 1.0155,                0.82007,                0.69637,                0.79895,                0.47769,                 1.4239,                0.87376,                 1.0955,             0.00074282,             0.00074282,             0.00074282
                     31,                 1.1501,                0.64491,                 1.0065,                0.76959,                 0.7198,                0.77684,                0.45723,                 1.4585,                0.91191,                 1.1064,             0.00070981,             0.00070981,             0.00070981
                     32,                 1.1668,                0.65854,                 1.0088,                0.79224,                0.74339,                 0.8013,                0.47764,                 1.4195,                0.87749,                 1.0915,              0.0006768,              0.0006768,              0.0006768
                     33,                 1.1744,                0.66749,                 1.0124,                0.82428,                0.71267,                0.80568,                0.48201,                 1.4176,                0.86842,                 1.0937,              0.0006438,              0.0006438,              0.0006438
                     34,                 1.1655,                0.64437,                 1.0097,                0.82554,                0.72782,                0.81071,                 0.4776,                 1.4336,                0.86294,                 1.0992,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.1517,                0.65328,                0.99955,                0.79295,                0.75659,                0.80577,                0.48343,                 1.4262,                0.85446,                 1.1025,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.1681,                0.65195,                 1.0082,                0.79825,                0.73601,                0.80383,                0.47909,                 1.4256,                0.87201,                  1.101,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.1641,                 0.6434,                 1.0037,                0.85546,                0.72496,                0.81773,                0.49141,                 1.4143,                0.86215,                 1.0933,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.1445,                0.64591,                  1.007,                0.81438,                0.71263,                0.80064,                0.47615,                 1.4224,                0.87794,                 1.0921,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.1554,                0.64837,                 1.0025,                0.81746,                0.73824,                0.81633,                 0.4934,                 1.4062,                0.84197,                 1.0876,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.1448,                0.63815,                0.99988,                0.80688,                0.72187,                 0.8012,                0.48421,                 1.4084,                0.86207,                 1.0838,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.1444,                0.63768,                 1.0037,                0.82329,                0.72916,                0.81521,                0.49563,                 1.4034,                0.83518,                  1.089,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.1277,                0.63451,                0.99719,                0.80842,                0.74248,                0.81109,                0.49085,                 1.3959,                0.84506,                  1.084,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.1565,                0.62784,                  1.004,                0.78446,                0.74898,                0.79538,                0.47935,                  1.409,                0.86287,                 1.0927,             0.00031373,             0.00031373,             0.00031373
                     44,                 1.1311,                0.63675,                      1,                0.82558,                0.74425,                0.81383,                0.49118,                 1.3953,                0.83059,                 1.0862,             0.00028072,             0.00028072,             0.00028072
                     45,                 1.1232,                0.62931,                0.99556,                0.80181,                0.74452,                0.81026,                0.49119,                  1.407,                0.84292,                 1.0912,             0.00024772,             0.00024772,             0.00024772
                     46,                 1.1284,                0.62328,                0.99458,                0.83652,                0.72117,                0.81293,                0.49465,                 1.4037,                0.83136,                  1.091,             0.00021471,             0.00021471,             0.00021471
                     47,                  1.137,                0.63217,                 1.0021,                0.82942,                0.72484,                0.81297,                0.48806,                 1.3997,                0.83907,                 1.0872,              0.0001817,              0.0001817,              0.0001817
                     48,                  1.133,                0.62606,                 1.0024,                0.83347,                0.73747,                 0.8162,                0.49692,                 1.3942,                0.82987,                 1.0847,              0.0001487,              0.0001487,              0.0001487
                     49,                 1.1446,                0.63161,                 1.0066,                0.81547,                0.73914,                 0.8213,                0.49862,                 1.3879,                 0.8258,                 1.0843,             0.00011569,             0.00011569,             0.00011569
                     50,                 1.1362,                0.60813,                  1.001,                 0.8166,                0.74324,                0.81661,                0.49513,                 1.3908,                0.83055,                 1.0835,             8.2683e-05,             8.2683e-05,             8.2683e-05
